"name"
"Tim Robbins"
"Anthony Minghella"
"Joel Coen"
"Scott Hicks"
"Mike Leigh"
"James Cameron"
"Peter Cattaneo"
"Atom Egoyan"
"Curtis Hanson"
"Gus Van Sant"
"Roberto Benigni"
"John Madden"
"Terrence Malick"
"Sam Mendes"
"Spike Jonze"
"Michael Mann"
"M. Night Shyamalan"
"Steven Soderbergh"
"Stephen Daldry"
"Ang Lee"
"Ron Howard"
"Peter Jackson"
"Pedro Almodóvar"
"Rob Marshall"
"Sofia Coppola"
"Fernando Meirelles"
"Taylor Hackford"
"Alexander Payne"
"George Clooney"
"Paul Haggis"
"Bennett Miller"
"Paul Greengrass"
"Alejandro González Iñárritu"
"Joel Coen and Ethan Coen"
"Paul Thomas Anderson"
"Tony Gilroy"
"Jason Reitman"
"Julian Schnabel"
"Danny Boyle"
"David Fincher"
"Kathryn Bigelow"
"Lee Daniels"
"Tom Hooper"
"Darren Aronofsky"
"David O. Russell"
"Michel Hazanavicius"
"Michael Haneke"
"Benh Zeitlin"
"Alfonso Cuarón"
"Steve McQueen"
"Wes Anderson"
"Richard Linklater"
"Morten Tyldum"
"Lenny Abrahamson"
"Tom McCarthy"
"Adam McKay"
"George Miller"
"Damien Chazelle"
"Barry Jenkins"
"Kenneth Lonergan"
"Denis Villeneuve"
"Guillermo del Toro"
"Greta Gerwig"
"Christopher Nolan"
"Jordan Peele"
"Yorgos Lanthimos"
"Spike Lee"
"Paweł Pawlikowski"
"Bong Joon-ho"
"Todd Phillips"
"Chloé Zhao"
"Lee Isaac Chung"
"Emerald Fennell"
"Thomas Vinterberg"
"Ryusuke Hamaguchi"
"Todd Field"
"Daniel Kwan and Daniel Scheinert"
"Martin McDonagh"
"Ruben Östlund"
